part_index,part_name,measure_number,abs_measure_index,staff,voice,beat,beat_pos,offset_ql_in_measure,start_ql,duration_ql,pitch_name,midi,global_beat
0,Score,72,71,1,,1,0.000,0.000,213.000,3.000,F5,77,173
0,Score,72,71,2,,1,0.000,0.000,213.000,3.000,E2,40,173
0,Score,72,71,2,,1,0.333,1.000,214.000,2.000,A3,57,174
0,Score,72,71,2,,1,0.333,1.000,214.000,2.000,D4,62,174
0,Score,72,71,2,,1,0.333,1.000,214.000,2.000,F4,65,174
0,Score,72,71,2,,1,0.333,1.000,214.000,2.000,A4,69,174
0,Score,73,72,1,,1,0.000,0.000,216.000,1.000,B4,71,175
0,Score,73,72,2,,1,0.000,0.000,216.000,3.000,E2,40,175
0,Score,73,72,1,,2,0.000,1.000,217.000,1.000,C5,72,176
0,Score,73,72,2,,2,0.000,1.000,217.000,2.000,A3,57,176
0,Score,73,72,2,,2,0.000,1.000,217.000,2.000,C4,60,176
0,Score,73,72,2,,2,0.000,1.000,217.000,2.000,F4,65,176
0,Score,73,72,1,,3,0.000,2.000,218.000,1.000,F5,77,177
0,Score,74,73,1,,1,0.000,0.000,219.000,1.000,E5,76,178
0,Score,74,73,2,,1,0.000,0.000,219.000,3.000,E2,40,178
0,Score,74,73,1,,2,0.000,1.000,220.000,1.000,D5,74,179
0,Score,74,73,2,,2,0.000,1.000,220.000,2.000,C4,60,179
0,Score,74,73,2,,2,0.000,1.000,220.000,2.000,E4,64,179
0,Score,74,73,2,,2,0.000,1.000,220.000,2.000,A4,69,179
0,Score,74,73,1,,3,0.000,2.000,221.000,1.000,C5,72,180
0,Score,75,74,1,,1,0.000,0.000,222.000,1.000,E5,76,181
0,Score,75,74,2,,1,0.000,0.000,222.000,3.000,E2,40,181
0,Score,75,74,1,,2,0.000,1.000,223.000,1.000,D5,74,182
0,Score,75,74,2,,2,0.000,1.000,223.000,2.000,A3,57,182
0,Score,75,74,2,,2,0.000,1.000,223.000,2.000,C4,60,182
0,Score,75,74,2,,2,0.000,1.000,223.000,2.000,F4,65,182
0,Score,75,74,2,,2,0.000,1.000,223.000,2.000,A4,69,182
0,Score,75,74,1,,3,0.000,2.000,224.000,1.000,C5,72,183
0,Score,76,75,1,,1,0.000,0.000,225.000,3.000,F4,65,184
0,Score,76,75,2,,1,0.000,0.000,225.000,3.000,E2,40,184
0,Score,76,75,1,,2,0.000,1.000,226.000,1.000,A3,57,185
